year_month,month_label,category,delays,total_delay,major_delays
201401,Jan 2014,Mechanical/Infrastructure,432,1051,8
201401,Jan 2014,Mechanical/Vehicle,139,598,1
201401,Jan 2014,Operational/Process,442,409,0
201401,Jan 2014,Other,267,1048,4
201401,Jan 2014,Patron,409,1237,8
201401,Jan 2014,Security,16,62,0
201401,Jan 2014,Weather,78,182,0
201402,Feb 2014,Mechanical/Infrastructure,492,804,7
201402,Feb 2014,Mechanical/Vehicle,95,400,0
201402,Feb 2014,Operational/Process,463,463,1
201402,Feb 2014,Other,315,1654,3
201402,Feb 2014,Patron,398,879,2
201402,Feb 2014,Security,22,51,0
201402,Feb 2014,Weather,96,214,1
201403,Mar 2014,Mechanical/Infrastructure,448,835,5
201403,Mar 2014,Mechanical/Vehicle,122,548,0
201403,Mar 2014,Operational/Process,448,360,0
201403,Mar 2014,Other,349,669,3
201403,Mar 2014,Patron,406,949,5
201403,Mar 2014,Security,22,73,0
201403,Mar 2014,Weather,84,154,0
201404,Apr 2014,Mechanical/Infrastructure,357,1039,12
201404,Apr 2014,Mechanical/Vehicle,92,386,2
201404,Apr 2014,Operational/Process,408,292,0
201404,Apr 2014,Other,298,405,1
201404,Apr 2014,Patron,432,1237,6
201404,Apr 2014,Security,27,100,1
201404,Apr 2014,Weather,2,110,1
201405,May 2014,Mechanical/Infrastructure,293,653,8
201405,May 2014,Mechanical/Vehicle,115,494,2
201405,May 2014,Operational/Process,416,239,0
201405,May 2014,Other,274,332,2
201405,May 2014,Patron,473,1219,5
201405,May 2014,Security,28,120,1
201406,Jun 2014,Mechanical/Infrastructure,269,763,7
201406,Jun 2014,Mechanical/Vehicle,118,511,2
201406,Jun 2014,Operational/Process,373,281,0
201406,Jun 2014,Other,303,442,3
201406,Jun 2014,Patron,474,959,5
201406,Jun 2014,Security,17,69,0
201406,Jun 2014,Weather,2,9,0
201407,Jul 2014,Mechanical/Infrastructure,273,519,4
201407,Jul 2014,Mechanical/Vehicle,124,676,4
201407,Jul 2014,Operational/Process,410,369,1
201407,Jul 2014,Other,327,294,0
201407,Jul 2014,Patron,490,1281,4
201407,Jul 2014,Security,18,51,0
201407,Jul 2014,Weather,3,12,0
201408,Aug 2014,Mechanical/Infrastructure,304,913,6
201408,Aug 2014,Mechanical/Vehicle,95,367,0
201408,Aug 2014,Operational/Process,499,294,0
201408,Aug 2014,Other,262,298,1
201408,Aug 2014,Patron,527,1166,7
201408,Aug 2014,Security,26,73,0
201409,Sep 2014,Mechanical/Infrastructure,350,1101,9
201409,Sep 2014,Mechanical/Vehicle,96,457,3
201409,Sep 2014,Operational/Process,400,311,1
201409,Sep 2014,Other,264,365,1
201409,Sep 2014,Patron,549,1065,5
201409,Sep 2014,Security,13,21,0
201410,Oct 2014,Mechanical/Infrastructure,359,564,1
201410,Oct 2014,Mechanical/Vehicle,114,482,1
201410,Oct 2014,Operational/Process,408,339,0
201410,Oct 2014,Other,301,306,0
201410,Oct 2014,Patron,546,1308,6
201410,Oct 2014,Security,39,157,0
201410,Oct 2014,Weather,2,259,1
201411,Nov 2014,Mechanical/Infrastructure,340,637,7
201411,Nov 2014,Mechanical/Vehicle,83,384,0
201411,Nov 2014,Operational/Process,414,312,0
201411,Nov 2014,Other,269,353,2
201411,Nov 2014,Patron,484,1219,6
201411,Nov 2014,Security,24,79,0
201411,Nov 2014,Weather,10,21,0
201412,Dec 2014,Mechanical/Infrastructure,350,684,5
201412,Dec 2014,Mechanical/Vehicle,95,383,1
201412,Dec 2014,Operational/Process,441,283,0
201412,Dec 2014,Other,275,343,1
201412,Dec 2014,Patron,470,1012,6
201412,Dec 2014,Security,33,82,0
201412,Dec 2014,Weather,23,37,0
201501,Jan 2015,Mechanical/Infrastructure,322,501,6
201501,Jan 2015,Mechanical/Vehicle,134,539,1
201501,Jan 2015,Operational/Process,401,281,0
201501,Jan 2015,Other,303,420,2
201501,Jan 2015,Patron,409,1273,11
201501,Jan 2015,Security,34,136,1
201501,Jan 2015,Weather,47,90,0
201502,Feb 2015,Mechanical/Infrastructure,405,641,6
201502,Feb 2015,Mechanical/Vehicle,120,637,3
201502,Feb 2015,Operational/Process,408,259,0
201502,Feb 2015,Other,315,2023,3
201502,Feb 2015,Patron,455,1022,3
201502,Feb 2015,Security,23,94,1
201502,Feb 2015,Weather,144,305,4
201503,Mar 2015,Mechanical/Infrastructure,488,522,3
201503,Mar 2015,Mechanical/Vehicle,192,415,0
201503,Mar 2015,Operational/Process,499,221,0
201503,Mar 2015,Other,311,644,7
201503,Mar 2015,Patron,418,728,2
201503,Mar 2015,Security,27,134,0
201503,Mar 2015,Weather,18,1129,4
201504,Apr 2015,Mechanical/Infrastructure,442,536,5
201504,Apr 2015,Mechanical/Vehicle,134,349,1
201504,Apr 2015,Operational/Process,488,306,0
201504,Apr 2015,Other,256,253,0
201504,Apr 2015,Patron,376,973,10
201504,Apr 2015,Security,31,80,0
201504,Apr 2015,Weather,1,342,1
201505,May 2015,Mechanical/Infrastructure,497,747,6
201505,May 2015,Mechanical/Vehicle,107,376,0
201505,May 2015,Operational/Process,465,270,0
201505,May 2015,Other,234,370,2
201505,May 2015,Patron,467,722,4
201505,May 2015,Security,17,55,0
201506,Jun 2015,Mechanical/Infrastructure,451,683,6
201506,Jun 2015,Mechanical/Vehicle,118,443,2
201506,Jun 2015,Operational/Process,392,241,0
201506,Jun 2015,Other,236,391,3
201506,Jun 2015,Patron,446,789,2
201506,Jun 2015,Security,26,141,0
201506,Jun 2015,Weather,4,7,0
201507,Jul 2015,Mechanical/Infrastructure,578,677,8
201507,Jul 2015,Mechanical/Vehicle,90,297,0
201507,Jul 2015,Operational/Process,420,201,0
201507,Jul 2015,Other,248,316,1
201507,Jul 2015,Patron,527,805,3
201507,Jul 2015,Security,22,75,0
201507,Jul 2015,Weather,2,3,0
201508,Aug 2015,Mechanical/Infrastructure,524,364,1
201508,Aug 2015,Mechanical/Vehicle,101,356,0
201508,Aug 2015,Operational/Process,338,204,0
201508,Aug 2015,Other,248,336,1
201508,Aug 2015,Patron,505,824,3
201508,Aug 2015,Security,23,70,0
201509,Sep 2015,Mechanical/Infrastructure,560,494,3
201509,Sep 2015,Mechanical/Vehicle,103,355,0
201509,Sep 2015,Operational/Process,392,257,0
201509,Sep 2015,Other,277,560,3
201509,Sep 2015,Patron,532,1051,4
201509,Sep 2015,Security,31,120,0
201509,Sep 2015,Weather,3,13,0
201510,Oct 2015,Mechanical/Infrastructure,421,541,4
201510,Oct 2015,Mechanical/Vehicle,97,265,0
201510,Oct 2015,Operational/Process,430,276,0
201510,Oct 2015,Other,260,561,2
201510,Oct 2015,Patron,535,1149,9
201510,Oct 2015,Security,24,53,0
201511,Nov 2015,Mechanical/Infrastructure,499,556,7
201511,Nov 2015,Mechanical/Vehicle,119,376,1
201511,Nov 2015,Operational/Process,399,296,0
201511,Nov 2015,Other,247,347,2
201511,Nov 2015,Patron,517,989,2
201511,Nov 2015,Security,19,54,0
201512,Dec 2015,Mechanical/Infrastructure,491,321,1
201512,Dec 2015,Mechanical/Vehicle,87,216,0
201512,Dec 2015,Operational/Process,379,338,0
201512,Dec 2015,Other,207,299,1
201512,Dec 2015,Patron,522,1308,10
201512,Dec 2015,Security,28,85,0
201512,Dec 2015,Weather,8,3,0
201601,Jan 2016,Mechanical/Infrastructure,458,425,2
201601,Jan 2016,Mechanical/Vehicle,126,405,0
201601,Jan 2016,Operational/Process,371,309,0
201601,Jan 2016,Other,217,321,2
201601,Jan 2016,Patron,449,897,3
201601,Jan 2016,Security,26,79,0
201601,Jan 2016,Weather,11,19,0
201602,Feb 2016,Mechanical/Infrastructure,452,473,3
201602,Feb 2016,Mechanical/Vehicle,74,231,0
201602,Feb 2016,Operational/Process,312,182,0
201602,Feb 2016,Other,227,342,1
201602,Feb 2016,Patron,462,1164,6
201602,Feb 2016,Security,19,68,0
201602,Feb 2016,Weather,17,23,0
201603,Mar 2016,Mechanical/Infrastructure,557,668,10
201603,Mar 2016,Mechanical/Vehicle,86,281,1
201603,Mar 2016,Operational/Process,340,218,0
201603,Mar 2016,Other,219,674,5
201603,Mar 2016,Patron,506,1318,8
201603,Mar 2016,Security,25,50,0
201603,Mar 2016,Weather,17,24,0
201604,Apr 2016,Mechanical/Infrastructure,483,613,5
201604,Apr 2016,Mechanical/Vehicle,94,419,2
201604,Apr 2016,Operational/Process,331,238,0
201604,Apr 2016,Other,247,421,3
201604,Apr 2016,Patron,510,968,7
201604,Apr 2016,Security,31,75,0
201604,Apr 2016,Weather,9,19,0
201605,May 2016,Mechanical/Infrastructure,494,711,6
201605,May 2016,Mechanical/Vehicle,100,996,3
201605,May 2016,Operational/Process,394,306,0
201605,May 2016,Other,207,306,1
201605,May 2016,Patron,532,967,5
201605,May 2016,Security,35,110,0
201606,Jun 2016,Mechanical/Infrastructure,449,749,6
201606,Jun 2016,Mechanical/Vehicle,107,468,0
201606,Jun 2016,Operational/Process,351,357,0
201606,Jun 2016,Other,245,397,3
201606,Jun 2016,Patron,538,1193,3
201606,Jun 2016,Security,31,166,1
201606,Jun 2016,Weather,1,35,1
201607,Jul 2016,Mechanical/Infrastructure,450,693,9
201607,Jul 2016,Mechanical/Vehicle,105,470,0
201607,Jul 2016,Operational/Process,407,455,1
201607,Jul 2016,Other,217,378,2
201607,Jul 2016,Patron,600,1109,6
201607,Jul 2016,Security,30,143,0
201607,Jul 2016,Weather,2,0,0
201608,Aug 2016,Mechanical/Infrastructure,506,569,4
201608,Aug 2016,Mechanical/Vehicle,123,539,1
201608,Aug 2016,Operational/Process,470,357,1
201608,Aug 2016,Other,243,357,1
201608,Aug 2016,Patron,578,1411,10
201608,Aug 2016,Security,24,99,0
201608,Aug 2016,Weather,4,3,0
201609,Sep 2016,Mechanical/Infrastructure,457,350,3
201609,Sep 2016,Mechanical/Vehicle,103,608,3
201609,Sep 2016,Operational/Process,385,318,0
201609,Sep 2016,Other,244,489,3
201609,Sep 2016,Patron,549,1215,3
201609,Sep 2016,Security,14,39,0
201610,Oct 2016,Mechanical/Infrastructure,471,685,3
201610,Oct 2016,Mechanical/Vehicle,128,593,2
201610,Oct 2016,Operational/Process,392,390,1
201610,Oct 2016,Other,227,404,2
201610,Oct 2016,Patron,510,1296,7
201610,Oct 2016,Security,11,69,0
201611,Nov 2016,Mechanical/Infrastructure,558,722,6
201611,Nov 2016,Mechanical/Vehicle,147,590,0
201611,Nov 2016,Operational/Process,381,260,0
201611,Nov 2016,Other,223,452,3
201611,Nov 2016,Patron,603,1558,6
201611,Nov 2016,Security,14,104,2
201611,Nov 2016,Weather,2,12,0
201612,Dec 2016,Mechanical/Infrastructure,452,515,6
201612,Dec 2016,Mechanical/Vehicle,142,503,1
201612,Dec 2016,Operational/Process,394,325,0
201612,Dec 2016,Other,238,904,4
201612,Dec 2016,Patron,534,1493,7
201612,Dec 2016,Security,24,70,0
201612,Dec 2016,Weather,40,43,0
201701,Jan 2017,Mechanical/Infrastructure,439,395,1
201701,Jan 2017,Mechanical/Vehicle,110,374,0
201701,Jan 2017,Operational/Process,276,337,1
201701,Jan 2017,Other,175,146,0
201701,Jan 2017,Patron,494,1256,7
201701,Jan 2017,Security,13,45,0
201701,Jan 2017,Weather,15,3,0
201702,Feb 2017,Mechanical/Infrastructure,362,560,3
201702,Feb 2017,Mechanical/Vehicle,84,315,1
201702,Feb 2017,Operational/Process,279,289,0
201702,Feb 2017,Other,206,406,3
201702,Feb 2017,Patron,440,1171,6
201702,Feb 2017,Security,19,35,0
201702,Feb 2017,Weather,10,3,0
201703,Mar 2017,Mechanical/Infrastructure,413,471,5
201703,Mar 2017,Mechanical/Vehicle,119,465,0
201703,Mar 2017,Operational/Process,283,229,0
201703,Mar 2017,Other,218,334,1
201703,Mar 2017,Patron,493,917,3
201703,Mar 2017,Security,20,98,0
201703,Mar 2017,Weather,9,14,0
201704,Apr 2017,Mechanical/Infrastructure,336,384,4
201704,Apr 2017,Mechanical/Vehicle,88,349,0
201704,Apr 2017,Operational/Process,266,243,0
201704,Apr 2017,Other,218,449,0
201704,Apr 2017,Patron,544,1289,10
201704,Apr 2017,Security,27,138,1
201705,May 2017,Mechanical/Infrastructure,402,467,2
201705,May 2017,Mechanical/Vehicle,104,402,1
201705,May 2017,Operational/Process,330,247,0
201705,May 2017,Other,243,1066,7
201705,May 2017,Patron,531,1342,8
201705,May 2017,Security,24,77,0
201801,Jan 2018,Mechanical/Infrastructure,463,1110,9
201801,Jan 2018,Mechanical/Vehicle,133,618,1
201801,Jan 2018,Operational/Process,359,590,3
201801,Jan 2018,Other,232,819,4
201801,Jan 2018,Patron,602,1692,9
201801,Jan 2018,Security,31,112,1
201801,Jan 2018,Weather,53,287,2
201901,Jan 2019,Mechanical/Infrastructure,482,693,4
201901,Jan 2019,Mechanical/Vehicle,97,489,2
201901,Jan 2019,Operational/Process,286,457,0
201901,Jan 2019,Other,200,502,3
201901,Jan 2019,Patron,658,1800,15
201901,Jan 2019,Security,29,123,1
201901,Jan 2019,Weather,119,505,2
202001,Jan 2020,Mechanical/Infrastructure,200,404,4
202001,Jan 2020,Mechanical/Vehicle,77,613,1
202001,Jan 2020,Operational/Process,237,407,1
202001,Jan 2020,Other,144,542,3
202001,Jan 2020,Patron,635,1767,7
202001,Jan 2020,Security,40,99,0
202001,Jan 2020,Weather,6,25,0
202101,Jan 2021,Mechanical/Infrastructure,165,479,4
202101,Jan 2021,Mechanical/Vehicle,78,345,0
202101,Jan 2021,Operational/Process,186,505,0
202101,Jan 2021,Other,130,373,6
202101,Jan 2021,Patron,599,2527,19
202101,Jan 2021,Security,47,141,2
202101,Jan 2021,Weather,11,102,2
202201,Jan 2022,Mechanical/Infrastructure,209,1048,7
202201,Jan 2022,Mechanical/Vehicle,212,744,1
202201,Jan 2022,Operational/Process,392,1181,3
202201,Jan 2022,Other,244,1471,8
202201,Jan 2022,Patron,737,2439,17
202201,Jan 2022,Security,54,129,2
202201,Jan 2022,Weather,51,584,4
202202,Feb 2022,Mechanical/Infrastructure,160,785,6
202202,Feb 2022,Mechanical/Vehicle,175,615,1
202202,Feb 2022,Operational/Process,194,657,0
202202,Feb 2022,Other,222,1360,9
202202,Feb 2022,Patron,751,2290,19
202202,Feb 2022,Security,67,397,6
202202,Feb 2022,Weather,54,107,1
202203,Mar 2022,Mechanical/Infrastructure,191,1164,8
202203,Mar 2022,Mechanical/Vehicle,133,497,1
202203,Mar 2022,Operational/Process,171,585,1
202203,Mar 2022,Other,216,774,4
202203,Mar 2022,Patron,868,2965,22
202203,Mar 2022,Security,67,357,4
202203,Mar 2022,Weather,3,0,0
